# status,# Bibi pulled all files from your repo. No need to edit this column.,"# directions: First, read through existing descriptions and edit for accuracy. Then, fill out this column with a description of each file. Include information about what the file contains and why it's relevant to your data package workflow. Use full sentences (capital first letter and period at end). Try to avoid using commas (use semi colors or reword if possible). Spell out all abbreviations and acryonmns (e.g., ""Fourier-transform ion cyclotron resonance (FTICR)"" not ""FTICR"").",# Bibi filled out based on ESS-DIVE standards. No need to edit this column.,"# directions: Write start date in YYYY-MM-DD format. If not applicable, write ""-9999""","# directions: Write end date in YYYY-MM-DD format. If not applicable, write ""-9999""","# directions: For each file… 
If the file is NOT a csv or tsv, write “N/A”; 
If there are ONLY character columns in that file, write “N/A”; 
If there are ONLY numeric, date, or time columns in that file write “-9999”; 
Else write “N/A; -9999”",# Bibi pulled all file paths from your repo. No need to edit this column.
columns to fill out,File_Name,File_Description,Standard,Date_Start,Date_End,Missing_Value_Codes,File_Path
None,readme_Ryan_2024_WROL_YRB_DOM_Diversity_Manuscript_Data_Package.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information. ,N/A,-9999,-9999,N/A,/rcsfa-RC4-WROL-YRB_DOM_Diversity
None,Ryan_2024_WROL_YRB_DOM_Diversity_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for File-level Metadata (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/rcsfa-RC4-WROL-YRB_DOM_Diversity
None,Ryan_2024_WROL_YRB_DOM_Diversity_dd.csv,Data dictionary that defines columns headers across all csv files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,-9999,-9999,N/A,/rcsfa-RC4-WROL-YRB_DOM_Diversity
"File_Description, Date_Start, Date_End",Processed_WROL_RC2_Data_Clean.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity
"File_Description, Date_Start, Date_End",Processed_WROL_RC2_Mol_Clean.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity
None,WROL.Rproj,R Studio Project File.,N/A,-9999,-9999,N/A,/rcsfa-RC4-WROL-YRB_DOM_Diversity
"Date_Start, Date_End",Da_ShaodaLiu.csv,Table of input and output values for Damkohler number analysis.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data
"File_Description, Date_Start, Date_End",RC2_Sample_Field_Metadata_krDateEdit20230828.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data
"File_Description, Date_Start, Date_End",WROL_RC2_Compound_Class_Summary.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/WROL-RC2_MolecularInfo_Updated_202402
"File_Description, Date_Start, Date_End",WROL_RC2_Elemental_Composition_Summary.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/WROL-RC2_MolecularInfo_Updated_202402
"File_Description, Date_Start, Date_End",WROL_RC2_MolInfo_Summary.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/WROL-RC2_MolecularInfo_Updated_202402
"File_Description, Date_Start, Date_End",RC2_WROL_Total_and_Normalized_Transformations_083023.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/WROL-RC2_Transformations_Updated_20230828
"File_Description, Date_Start, Date_End",RC2_NPOC_TN_DIC_TSS_Ions_Summary_2021-2022.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/ancillary_chemistry
"Date_Start, Date_End",seasons_yrb.csv,Table of season labels for each sample for the Yakima River basin samples.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/ancillary_chemistry
"Date_Start, Date_End",wrol_chem_20230915.csv,Table of water chemistry for the Watershed Rules of Life project samples.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/ancillary_chemistry
"Date_Start, Date_End",Geospatial_all_YRB_WROL_2023-05-01.csv,Table of geospatial information for all sample sites.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/geospat
"Date_Start, Date_End",geospat_additional_sites_20230915.csv,Table of geospatial information for additional sites.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/geospat
"File_Description, Date_Start, Date_End",COMIDs.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/travel_time
"Date_Start, Date_End",meta_tt_fromTedB_18Aug2023_tb.csv,Table of surface water residence times for all samples.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/travel_time
"File_Description, Date_Start, Date_End",RC2_Ultrameter_WaterChem_Summary.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/waterTemp
"Date_Start, Date_End",meta_waterTemp_degC_WROL_tb.csv,Table of water temperature for each sample for the Watershed Rules of Life project samples.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/data/waterTemp
"Date_Start, Date_End",dat_compiled_ls.Rds,R data file containing a list of compiled input dataframes.,N/A,,,N/A,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output
"Date_Start, Date_End",dat_wide.Rds,R data file of all study data in wide format.,N/A,,,N/A,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output
"Date_Start, Date_End",dat_wide.csv,Table of all study data in wide format.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output
"Date_Start, Date_End",meta.Rds,R data file of metadata for each sample.,N/A,,,N/A,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output
"Date_Start, Date_End",meta.csv,Table of metadata for each sample.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output
"File_Description, Date_Start, Date_End",RC2_WROL_Total_Transformations.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs
"File_Description, Date_Start, Date_End",RC2_WROL_Total_and_Normalized_Transformations.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs
"File_Description, Date_Start, Date_End",RC2_WROL_Trans_Profiles.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs
"File_Description, Date_Start, Date_End",Samples_and_reps.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Poorly_calibrated_samples
"File_Description, Date_Start, Date_End",WROL_RC2_All_Calibrations.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Poorly_calibrated_samples
"File_Description, Date_Start, Date_End",WROL_RC2_Poorly_Calibrated_Samples.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Poorly_calibrated_samples
"File_Description, Date_Start, Date_End",Peak.2.Peak_RC2_0001.csv,,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021).,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
