Agency,Location,Station_ID,Latitude,Longitude,Date_[yyyy-mm-dd],Daily_Discharge_cfs,daily_q_cms,COMID,tt_hr
USGS,American River,12488500,46.97761606,-121.168696,2021-04-20,538.0,15.23616,78017752,17.918594298755735
USGS,American River,12488500,46.97761606,-121.168696,2021-04-28,472.0,13.367040000000001,78017752,18.202237212087475
USGS,American River,12488500,46.97761606,-121.168696,2021-05-06,648.0,18.35136,78017752,17.52301404032738
USGS,American River,12488500,46.97761606,-121.168696,2021-05-13,589.0,16.68048,78017752,17.724907370866774
USGS,American River,12488500,46.97761606,-121.168696,2021-05-20,618.0,17.50176,78017752,17.622973681169306
USGS,American River,12488500,46.97761606,-121.168696,2021-05-27,580.0,16.4256,78017752,17.75768919340649
USGS,American River,12488500,46.97761606,-121.168696,2021-06-03,1130.0,32.0016,78017752,16.391866048372496
USGS,American River,12488500,46.97761606,-121.168696,2021-06-10,389.0,11.016480000000001,78017752,18.6296140405476
USGS,American River,12488500,46.97761606,-121.168696,2021-06-17,480.0,13.5936,78017752,18.165562949305993
USGS,American River,12488500,46.97761606,-121.168696,2021-06-24,496.0,14.04672,78017752,18.094225918191647
USGS,American River,12488500,46.97761606,-121.168696,2021-07-08,160.0,4.5312,78017752,20.725423409653708
USGS,American River,12488500,46.97761606,-121.168696,2021-07-15,112.0,3.17184,78017752,21.63174959209144
USGS,American River,12488500,46.97761606,-121.168696,2021-07-22,92.0,2.60544,78017752,22.148446515555705
USGS,American River,12488500,46.97761606,-121.168696,2021-07-29,76.6,2.169312,78017752,22.64072643858132
USGS,American River,12488500,46.97761606,-121.168696,2021-08-06,66.7,1.8889440000000002,78017752,23.01986167082442
USGS,American River,12488500,46.97761606,-121.168696,2021-08-12,61.6,1.744512,78017752,23.240642178670306
USGS,American River,12488500,46.97761606,-121.168696,2021-08-18,55.8,1.580256,78017752,23.518071466886536
USGS,American River,12488500,46.97761606,-121.168696,2021-09-16,40.0,1.1328,78017752,24.476572951820827
USGS,American River,12488500,46.97761606,-121.168696,2021-09-23,43.8,1.240416,78017752,24.211456505396114
USGS,American River,12488500,46.97761606,-121.168696,2021-09-30,46.4,1.314048,78017752,24.04449454820443
USGS,American River,12488500,46.97761606,-121.168696,2021-10-07,43.2,1.223424,78017752,24.25156445981996
USGS,American River,12488500,46.97761606,-121.168696,2021-10-13,40.9,1.158288,78017752,24.411305886175846
USGS,American River,12488500,46.97761606,-121.168696,2021-10-21,41.3,1.169616,78017752,24.382812748518933
USGS,American River,12488500,46.97761606,-121.168696,2021-10-28,92.1,2.608272,78017752,22.145559344877555
USGS,American River,12488500,46.97761606,-121.168696,2021-11-04,143.0,4.04976,78017752,21.00668316210299
USGS,American River,12488500,46.97761606,-121.168696,2021-11-18,398.0,11.271360000000001,78017752,18.578551086274942
USGS,American River,12488500,46.97761606,-121.168696,2021-12-02,305.0,8.6376,78017752,19.181467439130223
USGS,American River,12488500,46.97761606,-121.168696,2022-03-24,274.0,7.75968,78017752,19.429773688132617
USGS,American River,12488500,46.97761606,-121.168696,2022-04-07,277.0,7.84464,78017752,19.404400840603962
USGS,American River,12488500,46.97761606,-121.168696,2022-04-21,176.0,4.98432,78017752,20.48973254340275
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-04-21,6860.0,194.2752,78018211,102.33360538489883
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-04-28,7210.0,204.18720000000002,78018211,101.72435327164216
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-05-06,7380.0,209.00160000000002,78018211,101.44027217261315
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-05-13,4960.0,140.46720000000002,78018211,106.3945465665278
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-05-20,5810.0,164.53920000000002,78018211,104.39411894368399
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-05-27,7200.0,203.904,78018211,101.74129697871572
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-06-03,7660.0,216.93120000000002,78018211,100.98798732164025
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-06-10,4040.0,114.4128,78018211,109.04641828147786
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-06-17,5480.0,155.1936,78018211,105.12923452029735
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-06-24,5430.0,153.7776,78018211,105.24493146859716
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-07-08,3890.0,110.1648,78018211,109.5426434662077
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-07-15,3630.0,102.80160000000001,78018211,110.4557615259059
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-07-22,3740.0,105.91680000000001,78018211,110.06077762129367
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-07-29,3580.0,101.38560000000001,78018211,110.63975515421937
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-08-05,3500.0,99.12,78018211,110.94021517520693
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-08-12,3450.0,97.70400000000001,78018211,111.13193539977824
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-08-18,3490.0,98.83680000000001,78018211,110.97831280219319
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-09-08,2760.0,78.1632,78018211,114.14794028058996
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-09-16,2490.0,70.5168,78018211,115.56684245853687
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-09-23,2150.0,60.888000000000005,78018211,117.62091512478473
USGS,Union Gap,12500450,46.53429376,-120.4672855,2021-09-30,1830.0,51.8256,78018211,119.91763047516704
